RRInterval,PPInterval,QTInterval,RRInterval_mean,RRInterval_var,RRInterval_min,RRInterval_max,RRInterval_delta,PPInterval_mean,PPInterval_var,PPInterval_min,PPInterval_max,PPInterval_delta,QTInterval_mean,QTInterval_var,QTInterval_min,QTInterval_max,QTInterval_delta
628.0,630.0,376.0,1002.4,42650.24,628.0,1166.0,-538.0,1009.0,43774.0,630.0,1175.0,-545.0,415.2,488.9599999999993,376.0,442.0,-66.0
1072.0,1070.0,470.0,983.6,37912.63999999999,628.0,1166.0,444.0,988.0,38566.0,630.0,1175.0,440.0,424.8,988.1599999999992,376.0,470.0,94.0
918.0,920.0,412.0,981.2,38192.95999999999,628.0,1166.0,-154.0,985.0,38920.0,630.0,1175.0,-150.0,425.2,976.9599999999991,376.0,470.0,-58.0
1298.0,1300.0,464.0,1016.4,53061.43999999999,628.0,1298.0,380.0,1019.0,53404.0,630.0,1300.0,380.0,432.8,1220.159999999999,376.0,470.0,52.0
1196.0,1200.0,436.0,1022.4,55000.63999999999,628.0,1298.0,-102.0,1024.0,55064.0,630.0,1300.0,-100.0,431.6,1203.8399999999988,376.0,470.0,-28.0
1316.0,1300.0,426.0,1160.0,22196.799999999996,918.0,1316.0,120.0,1158.0,21296.0,920.0,1300.0,100.0,441.6,491.8399999999986,412.0,470.0,-10.0
1000.0,1000.0,414.0,1145.6,25560.639999999992,918.0,1316.0,-316.0,1144.0,24544.0,920.0,1300.0,-300.0,430.4,357.4399999999987,412.0,464.0,-12.0
1020.0,1015.0,422.0,1166.0,17939.199999999993,1000.0,1316.0,20.0,1163.0,17476.0,1000.0,1300.0,15.0,432.4,299.8399999999988,414.0,464.0,8.0
1098.0,1090.0,416.0,1126.0,13779.199999999993,1000.0,1316.0,78.0,1121.0,13024.0,1000.0,1300.0,75.0,422.8,61.759999999998605,414.0,436.0,-6.0
1132.0,1130.0,424.0,1113.2,12642.559999999994,1000.0,1316.0,34.0,1107.0,11596.0,1000.0,1300.0,40.0,420.4,21.439999999998662,414.0,426.0,8.0
1120.0,1110.0,466.0,1074.0,2889.599999999996,1000.0,1132.0,-12.0,1069.0,2704.0,1000.0,1130.0,-20.0,428.4,367.0399999999989,414.0,466.0,42.0
1294.0,1300.0,436.0,1132.8,8016.959999999997,1020.0,1294.0,174.0,1129.0,8824.0,1015.0,1300.0,190.0,432.8,317.75999999999897,416.0,466.0,-30.0
926.0,920.0,386.0,1114.0,13672.0,926.0,1294.0,-368.0,1110.0,14600.0,920.0,1300.0,-380.0,425.6,680.6399999999992,386.0,466.0,-50.0
1026.0,1030.0,420.0,1099.6,14962.24,926.0,1294.0,100.0,1098.0,15656.0,920.0,1300.0,110.0,426.4,667.839999999999,386.0,466.0,34.0
1440.0,1425.0,462.0,1161.2,34132.159999999996,926.0,1440.0,414.0,1157.0,33356.0,920.0,1425.0,395.0,434.0,862.3999999999991,386.0,466.0,42.0
1348.0,1330.0,414.0,1206.8,38692.16,926.0,1440.0,-92.0,1201.0,36964.0,920.0,1425.0,-95.0,423.6,629.4399999999991,386.0,462.0,-48.0
902.0,895.0,464.0,1128.4,49605.44,902.0,1440.0,-446.0,1120.0,47170.0,895.0,1425.0,-435.0,429.2,893.7599999999993,386.0,464.0,50.0
858.0,855.0,388.0,1114.8,55850.56,858.0,1440.0,-44.0,1107.0,53046.0,855.0,1425.0,-40.0,429.6,859.8399999999998,388.0,464.0,-76.0
1032.0,1030.0,418.0,1116.0,55643.2,858.0,1440.0,174.0,1107.0,53046.0,855.0,1425.0,175.0,429.2,868.1599999999996,388.0,464.0,30.0
0.0,0.0,0.0,828.0,200795.2,0.0,1348.0,-1032.0,822.0,196686.0,0.0,1330.0,-1030.0,336.8,28957.760000000002,0.0,464.0,-418.0
192.0433,191.00626,28.076645,596.8086599999999,174153.9491639824,0.0,1032.0,192.0433,594.2012520000001,172811.55039347,0.0,1030.0,191.00626,259.61532900000003,40870.340547112966,0.0,464.0,28.076645
1136.4321,1129.321,434.01236,643.6950800000001,211565.95338085358,0.0,1136.4321,944.3888,641.065452,209789.9487320732,0.0,1129.321,938.3147399999999,253.61780100000001,38562.61634136953,0.0,434.01236,405.935715
